App;specs;Volume;Neck;Peso;Spessore;Lunghezza;DiamMax;DiamMed;DiamSB;Pref.Draw;Shape;TON;pos;cav;tc
CMW;Standard;1750;PCO 1881;35;3,09;135,8;24,68;21,59;25,9;PN006984_00;Bell Shape;;3;180;12,8
CMW;Standard;2000;PCO 1881;38,8;3;138,3;27,54;24,54;25,5;PN006753_00;Reverse;;3;180;-
SMW;LW;250;29/25;7,4;1,72;58;16,47;14,75;28;PN008814_01;Bell Shape;;3;180;6,2
SMW;LW;500;29/25;9;1,7;76;15,6;13,9;27,8;PN009957_01;Bell Shape;;3;180;6,4
SMW;LW;1000;29/25;18;2,36;98;21,1;18,74;27,5;PN005419_00;Bell Shape;;3;180;8,7
SMW;LW;1500;29/25;20,5;2,18;112;24;21,82;27,8;PN006427_00;Bell Shape;;3;180;8,7
SMW;LW;2000;26 OB;27,4;2,75;118,1;26,3;23,55;24,25;PN006075_00;Straight;;3;180;11,2
SMW;LW;5000;29/25;55,3;3,22;134;38;34,78;36,6;PN005592_00;Reverse;;3;180;-
SMW;Premium;300;PCO 1881;15,1;3,16;70;20;16,84;26;PN003242_00;Bell Shape;;3;180;9,8
SMW;Premium;500;PCO 1881;18;2,47;88,5;22,63;20,16;25,5;PN004110_01;Bell Shape;;3;180;9,1
SMW;Premium;750;PCO 1881;22;3,6;89,2;22;18,4;25;PN300062_00;Bell Shape;;3;180;12,5
SMW;Premium;1000;PCO 1881;28;3,05;105;26,5;23,45;25,5;PN300703_00;Bell Shape;;3;180;12,1
CMW;Premium;500;PCO 1881;15,3;2,1;90;19,8;17,7;25,5;PN005892_00;Bell Shape;;3;180;8,6
CMW;Premium;750;PCO 1881;25;2,68;113,4;23,5;20,82;25,5;PN004724_00;Bell Shape;;3;180;10,7
CMW;Premium;1000;PCO 1881;30;3;120;24,68;21,68;25,5;PN006020_00;Bell Shape;;3;180;12,1
CSD;Standard;250;PCO 1881;13,5;2,7;61,6;23,63;20,93;25,7;PN004258_02;Bell Shape;;3;180;8,6
CSD;Standard;330;PCO 1881;17,8;3,01;88,98;19,11;16,1;25,5;PN008784_00;Bell Shape;;3;180;9,6
CSD;Standard;500;PCO 1881;20;2,82;98;20,5;17,68;25,5;PN007921_00;Bell Shape;;3;180;9,6
CSD;Standard;1000;PCO 1881;30,5;3,37;110,8;25,5;22,13;25,5;PN005829_00;Straight;;3;180;12,8
CSD;Standard;1250;PCO 1881;33;3,41;116,5;25,83;22,42;25,5;PN007964_00;Straight;;3;180;13,3
CSD;Standard;1500;PCO 1881;38;3,84;124;25,85;22,01;25,5;PN006205_00;Straight;;3;180;14,7
CSD;Standard;2000;PCO 1881;42;3,57;131,81;28,7;25,13;25,7;PN007632_00;Reverse;;3;180;15,8
CSD;Standard;2500;PCO 1881;50,6;3,98;142,89;28,5;24,52;25,5;PN003575_00;Reverse;;3;180;17,3
CSD;Standard;3000;PCO 1881;54,5;4,08;148,1;28,84;24,76;25,7;PN007956_00;Reverse;;3;180;17,8
SMW;Standard;330;29/25;7,9;1,7;64,6;16,83;15,13;28;PN003625_00;Bell Shape;;3;200;6,2
SMW;Standard;500;29/25;10;1,71;78,9;17,5;15,79;27,7;PN004768_00;Bell Shape;;3;200;6,5
SMW;Standard;750;29/25;18,5;2,31;93;24,32;22,01;28;PN008984_00;Bell Shape;;3;200;8,7
SMW;Standard;1000;29/25;22,5;2,8;99,98;23,63;20,83;28;PN300211_00;Bell Shape;;3;200;10,6
